,DownEventID,UpEventID,DownTime,UpTime,ActionTime,DownEvent,UpEvent,Cursorposition,WordCount,TextChange,Activity
1,1,1,49855,49987,132,Leftclick,Leftclick,0,0,NoChange,Nonproduction
2,2,2,70090,70090,0,Shift,Shift,0,0,NoChange,Nonproduction
3,3,3,70200,70350,150,D,d,1,1,D,Input
4,4,4,70560,70703,143,o,o,2,1,o,Input
5,5,5,70735,70879,144,Space,Space,3,1, ,Input
6,6,6,70927,71007,80,y,y,4,2,y,Input
7,7,7,71143,71335,192,o,o,5,2,o,Input
8,8,8,71279,71399,120,u,u,6,2,u,Input
9,9,9,71495,71655,160,Space,Space,7,2, ,Input
10,10,10,71816,71991,175,o,o,8,3,o,Input
11,11,11,72006,72175,169,w,w,9,3,w,Input
12,12,12,72207,72303,96,n,n,10,3,n,Input
13,13,13,72472,72582,110,Space,Space,11,3, ,Input
14,14,14,73184,73351,167,t,t,12,4,t,Input
15,15,15,73841,73903,62,h,h,13,4,h,Input
16,16,16,74007,74095,88,i,i,14,4,i,Input
17,17,17,74207,74335,128,n,n,15,4,n,Input
18,18,18,74391,74495,104,g,g,16,4,g,Input
19,19,19,74607,74759,152,s,s,17,4,s,Input
20,20,20,76255,76255,0,Shift,Shift,17,4,NoChange,Nonproduction
21,21,21,76392,76535,143,?,?,18,4,?,Input
22,22,22,76944,77031,87,Space,Space,19,4, ,Input
23,23,23,77799,77799,0,Shift,Shift,19,4,NoChange,Nonproduction
24,24,24,78224,78359,135,O,O,20,5,O,Input
25,25,25,78592,78719,127,r,r,21,5,r,Input
26,26,26,78736,78887,151,Space,Space,22,5, ,Input
27,27,27,79128,79286,158,t,t,23,6,t,Input
28,28,28,79255,79327,72,h,h,24,6,h,Input
29,29,29,79447,79534,87,i,i,25,6,i,Input
30,30,30,79631,79767,136,n,n,26,6,n,Input
31,31,31,79791,79919,128,g,g,27,6,g,Input
32,32,32,80039,80222,183,s,s,28,6,s,Input
33,33,33,80191,80335,144,Space,Space,29,6, ,Input
34,34,34,83461,83610,149,Leftclick,Leftclick,21,6,NoChange,Nonproduction
35,35,35,84219,84326,107,Space,Space,22,6, ,Input
36,36,36,85296,85448,152,d,d,23,7,d,Input
37,37,37,85439,85590,151,o,o,24,7,o,Input
38,38,38,89209,89304,95,Leftclick,Leftclick,32,7,NoChange,Nonproduction
39,39,39,90355,90478,123,o,o,33,8,o,Input
40,40,40,90567,90726,159,w,w,34,8,w,Input
41,41,41,90807,90902,95,n,n,35,8,n,Input
42,42,42,91128,91238,110,Space,Space,36,8, ,Input
43,43,43,91456,91550,94,y,y,37,9,y,Input
44,44,44,91655,91814,159,o,o,38,9,o,Input
45,45,45,91735,91894,159,u,u,39,9,u,Input
46,46,46,92622,92622,0,Shift,Shift,39,9,NoChange,Nonproduction
47,47,47,92799,92934,135,?,?,40,9,?,Input
48,48,48,93167,93286,119,Enter,Enter,41,9,\n,Input
49,49,49,99639,99639,0,Shift,Shift,41,9,NoChange,Nonproduction
50,50,50,99840,99957,117,I,i,42,9,I,Input
