"","DownEventID","UpEventID","DownTime","UpTime","ActionTime","DownEvent","UpEvent","Cursorposition","WordCount","TextChange","Activity"
"1","1","1",2187,2350,163,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"2","2","2",6114,6285,171,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"3","3","3",194064,194241,177,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"4","4","4",196062,196062,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"5","5","5",196313,196410,97,"I","i","1","1","I","Input"
"6","6","6",196563,196690,127,"n","n","2","1","n","Input"
"7","7","7",196747,196827,80,"Space","Space","3","1"," ","Input"
"8","8","8",196985,197076,91,"t","t","4","2","t","Input"
"9","9","9",197188,197278,90,"h","h","5","2","h","Input"
"10","10","10",197340,197435,95,"e","e","6","2","e","Input"
"11","11","11",197436,197524,88,"Space","Space","7","2"," ","Input"
"12","12","12",197657,197770,113,"m","m","8","3","m","Input"
"13","13","13",197886,197972,86,"o","o","9","3","o","Input"
"14","14","14",198003,198099,96,"d","d","10","3","d","Input"
"15","15","15",198262,198316,54,"e","e","11","3","e","Input"
"16","16","16",198420,198531,111,"r","r","12","3","r","Input"
"17","17","17",198603,198716,113,"n","n","13","3","n","Input"
"18","18","18",198756,198860,104,"Space","Space","14","3"," ","Input"
"19","19","19",199169,199291,122,"s","s","15","4","s","Input"
"20","20","20",213891,213972,81,"o","o","16","4","o","Input"
"21","21","21",214283,214380,97,"c","c","17","4","c","Input"
"22","22","22",214513,214610,97,"i","i","18","4","i","Input"
"23","23","23",214689,214836,147,"e","e","19","4","e","Input"
"24","24","24",214940,215020,80,"t","t","20","4","t","Input"
"25","25","25",215160,215228,68,"y","y","21","4","y","Input"
"26","26","26",215358,215443,85,"Space","Space","22","4"," ","Input"
"27","27","27",219187,219259,72,"t","t","23","5","t","Input"
"28","28","28",219380,219477,97,"h","h","24","5","h","Input"
"29","29","29",219531,219612,81,"e","e","25","5","e","Input"
"30","30","30",219759,219820,61,"r","r","26","5","r","Input"
"31","31","31",219948,220043,95,"e","e","27","5","e","Input"
"32","32","32",220161,220221,60,"Space","Space","28","5"," ","Input"
"33","33","33",220371,220499,128,"a","a","29","6","a","Input"
"34","34","34",220539,220612,73,"r","r","30","6","r","Input"
"35","35","35",220720,220812,92,"e","e","31","6","e","Input"
"36","36","36",220862,220947,85,"Space","Space","32","6"," ","Input"
"37","37","37",221404,221507,103,"l","l","33","7","l","Input"
"38","38","38",221652,221734,82,"o","o","34","7","o","Input"
"39","39","39",237673,237763,90,"t","t","35","7","t","Input"
"40","40","40",237969,238110,141,"s","s","36","7","s","Input"
"41","41","41",259639,259889,250,"Space","Space","37","7"," ","Input"
"42","42","42",265503,265609,106,"a","a","38","8","a","Input"
"43","43","43",265708,265794,86,"n","n","39","8","n","Input"
"44","44","44",265852,265988,136,"d","d","40","8","d","Input"
"45","45","45",266003,266084,81,"Space","Space","41","8"," ","Input"
"46","46","46",266515,266602,87,"l","l","42","9","l","Input"
"47","47","47",266696,266780,84,"o","o","43","9","o","Input"
"48","48","48",266970,267058,88,"t","t","44","9","t","Input"
"49","49","49",267106,267253,147,"s","s","45","9","s","Input"
"50","50","50",267210,267322,112,"Space","Space","46","9"," ","Input"
"51","51","51",267570,267658,88,"o","o","47","10","o","Input"
"52","52","52",267733,267868,135,"f","f","48","10","f","Input"
"53","53","53",267882,267968,86,"Space","Space","49","10"," ","Input"
"54","54","54",270555,270649,94,"o","o","50","11","o","Input"
"55","55","55",270754,270851,97,"f","f","51","11","f","Input"
"56","56","56",270874,270970,96,"Space","Space","52","11"," ","Input"
"57","57","57",271354,271442,88,"p","p","53","12","p","Input"
"58","58","58",271522,271611,89,"e","e","54","12","e","Input"
"59","59","59",271603,271680,77,"o","o","55","12","o","Input"
"60","60","60",271806,271865,59,"p","p","56","12","p","Input"
"61","61","61",271978,272073,95,"l","l","57","12","l","Input"
"62","62","62",272157,272246,89,"e","e","58","12","e","Input"
"63","63","63",272322,272434,112,"Space","Space","59","12"," ","Input"
"64","64","64",272603,272705,102,"w","w","60","13","w","Input"
"65","65","65",272820,272914,94,"e","e","61","13","e","Input"
"66","66","66",273042,273167,125,"r","r","62","13","r","Input"
"67","67","67",273266,273394,128,"e","e","63","13","e","Input"
"68","68","68",273474,273578,104,"Space","Space","64","13"," ","Input"
"69","69","69",273801,273913,112,"l","l","65","14","l","Input"
"70","70","70",274029,274105,76,"i","i","66","14","i","Input"
"71","71","71",274209,274297,88,"k","k","67","14","k","Input"
"72","72","72",274369,274473,104,"e","e","68","14","e","Input"
"73","73","73",274498,274593,95,"Space","Space","69","14"," ","Input"
"74","74","74",274704,274834,130,"t","t","70","15","t","Input"
"75","75","75",274849,274947,98,"o","o","71","15","o","Input"
"76","76","76",275000,275090,90,"Space","Space","72","15"," ","Input"
"77","77","77",275377,275466,89,"b","b","73","16","b","Input"
"78","78","78",275547,275657,110,"e","e","74","16","e","Input"
"79","79","79",275697,275801,104,"Space","Space","75","16"," ","Input"
"80","80","80",275889,276009,120,"a","a","76","17","a","Input"
"81","81","81",276003,276105,102,"n","n","77","17","n","Input"
"82","82","82",276156,276258,102,"Space","Space","78","17"," ","Input"
"83","83","83",276333,276441,108,"m","m","79","18","m","Input"
"84","84","84",276490,276618,128,"a","a","80","18","a","Input"
"85","85","85",276659,276748,89,"t","t","81","18","t","Input"
"86","86","86",276866,276953,87,"e","e","82","18","e","Input"
"87","87","87",277042,277152,110,"r","r","83","18","r","Input"
"88","88","88",277245,277329,84,"i","i","84","18","i","Input"
"89","89","89",277449,277579,130,"a","a","85","18","a","Input"
"90","90","90",277593,277689,96,"l","l","86","18","l","Input"
"91","91","91",277818,277896,78,"i","i","87","18","i","Input"
"92","92","92",278009,278169,160,"s","s","88","18","s","Input"
"93","93","93",278251,278332,81,"t","t","89","18","t","Input"
"94","94","94",278642,278745,103,"i","i","90","18","i","Input"
"95","95","95",278907,279072,165,"c","c","91","18","c","Input"
"96","96","96",279069,279172,103,"Space","Space","92","18"," ","Input"
"97","97","97",279346,279449,103,"p","p","93","19","p","Input"
"98","98","98",279553,279648,95,"e","e","94","19","e","Input"
"99","99","99",279745,279849,104,"r","r","95","19","r","Input"
"100","100","100",280009,280170,161,"s","s","96","19","s","Input"
"101","101","101",280170,280234,64,"o","o","97","19","o","Input"
"102","102","102",280458,280537,79,"n","n","98","19","n","Input"
"103","103","103",281690,281785,95,".",".","99","19",".","Input"
"104","104","104",281956,282024,68,"Space","Space","100","19"," ","Input"
"105","105","105",282210,282210,0,"Shift","Shift","100","19","NoChange","Nonproduction"
"106","106","106",282386,282466,80,"T","t","101","20","T","Input"
"107","107","107",282618,282712,94,"h","h","102","20","h","Input"
"108","108","108",282786,282884,98,"e","e","103","20","e","Input"
"109","109","109",282899,282986,87,"y","y","104","20","y","Input"
"110","110","110",283059,283156,97,"Space","Space","105","20"," ","Input"
"111","111","111",283225,283330,105,"w","w","106","21","w","Input"
"112","112","112",283450,283577,127,"a","a","107","21","a","Input"
"113","113","113",283586,283697,111,"n","n","108","21","n","Input"
"114","114","114",283818,283921,103,"t","t","109","21","t","Input"
"115","115","115",283946,284073,127,"s","s","110","21","s","Input"
"116","116","116",284025,284154,129,"Space","Space","111","21"," ","Input"
"117","117","117",284570,284713,143,"t","t","112","22","t","Input"
"118","118","118",284761,284859,98,"o","o","113","22","o","Input"
"119","119","119",284906,285009,103,"Space","Space","114","22"," ","Input"
"120","120","120",285057,285161,104,"s","s","115","23","s","Input"
"121","121","121",285280,285412,132,"a","a","116","23","a","Input"
"122","122","122",285608,285658,50,"v","v","117","23","v","Input"
"123","123","123",285616,285665,49,"b","b","118","23","b","Input"
"124","124","124",286389,286538,149,"Backspace","Backspace","117","23","b","Remove/Cut"
"125","125","125",287312,287401,89,"v","v","118","23","v","Input"
"126","126","126",287418,287529,111,"e","e","119","23","e","Input"
"127","127","127",287586,287699,113,"Space","Space","120","23"," ","Input"
"128","128","128",287773,287888,115,"a","a","121","24","a","Input"
"129","129","129",287906,288004,98,"n","n","122","24","n","Input"
"130","130","130",288075,288209,134,"d","d","123","24","d","Input"
"131","131","131",288233,288345,112,"Space","Space","124","24"," ","Input"
"132","132","132",288624,288721,97,"p","p","125","25","p","Input"
"133","133","133",288839,288913,74,"o","o","126","25","o","Input"
"134","134","134",288994,289082,88,"s","s","127","25","s","Input"
"135","135","135",289185,289272,87,"s","s","128","25","s","Input"
"136","136","136",289436,289545,109,"e","e","129","25","e","Input"
"137","137","137",289686,289825,139,"s","s","130","25","s","Input"
"138","138","138",290155,290242,87,"e","e","131","25","e","Input"
"139","139","139",290374,290521,147,"s","s","132","25","s","Input"
"140","140","140",290545,290641,96,"Space","Space","133","25"," ","Input"
"141","141","141",290765,290881,116,"t","t","134","26","t","Input"
"142","142","142",290983,291107,124,"h","h","135","26","h","Input"
"143","143","143",291160,291216,56,"e","e","136","26","e","Input"
"144","144","144",291290,291384,94,"Space","Space","137","26"," ","Input"
"145","145","145",291515,291610,95,"a","a","138","27","a","Input"
"146","146","146",291749,291825,76,"s","s","139","27","s","Input"
"147","147","147",291953,292034,81,"s","s","140","27","s","Input"
"148","148","148",292200,292282,82,"e","e","141","27","e","Input"
"149","149","149",292530,292631,101,"t","t","142","27","t","Input"
"150","150","150",292704,292801,97,"s","s","143","27","s","Input"
"151","151","151",292833,292953,120,"Space","Space","144","27"," ","Input"
"152","152","152",292996,293098,102,"a","a","145","28","a","Input"
"153","153","153",293158,293248,90,"n","n","146","28","n","Input"
"154","154","154",293292,293401,109,"d","d","147","28","d","Input"
"155","155","155",293410,293512,102,"Space","Space","148","28"," ","Input"
"156","156","156",293639,293724,85,"v","v","149","29","v","Input"
"157","157","157",293825,293953,128,"a","a","150","29","a","Input"
"158","158","158",294027,294158,131,"l","l","151","29","l","Input"
"159","159","159",294264,294352,88,"u","u","152","29","u","Input"
"160","160","160",294417,294532,115,"a","a","153","29","a","Input"
"161","161","161",294533,294608,75,"b","b","154","29","b","Input"
"162","162","162",294835,294928,93,"l","l","155","29","l","Input"
"163","163","163",295046,295162,116,"e","e","156","29","e","Input"
"164","164","164",295141,295242,101,"Space","Space","157","29"," ","Input"
"165","165","165",295421,295521,100,"m","m","158","30","m","Input"
"166","166","166",295593,295699,106,"a","a","159","30","a","Input"
"167","167","167",295749,295825,76,"t","t","160","30","t","Input"
"168","168","168",295923,296018,95,"e","e","161","30","e","Input"
"169","169","169",296155,296216,61,"r","r","162","30","r","Input"
"170","170","170",296298,296378,80,"i","i","163","30","i","Input"
"171","171","171",296499,296625,126,"a","a","164","30","a","Input"
"172","172","172",296608,296721,113,"l","l","165","30","l","Input"
"173","173","173",296794,296914,120,"s","s","166","30","s","Input"
"174","174","174",296919,297009,90,"Space","Space","167","30"," ","Input"
"175","175","175",297249,297370,121,"f","f","168","31","f","Input"
"176","176","176",297448,297538,90,"o","o","169","31","o","Input"
"177","177","177",297655,297812,157,"r","r","170","31","r","Input"
"178","178","178",297857,297945,88,"Space","Space","171","31"," ","Input"
"179","179","179",298077,298176,99,"t","t","172","32","t","Input"
"180","180","180",298296,298385,89,"h","h","173","32","h","Input"
"181","181","181",298425,298521,96,"e","e","174","32","e","Input"
"182","182","182",298601,298689,88,"i","i","175","32","i","Input"
"183","183","183",298717,298866,149,"r","r","176","32","r","Input"
"184","184","184",298898,298993,95,"Space","Space","177","32"," ","Input"
"185","185","185",299343,299449,106,"f","f","178","33","f","Input"
"186","186","186",299458,299552,94,"u","u","179","33","u","Input"
"187","187","187",299702,299785,83,"t","t","180","33","t","Input"
"188","188","188",299921,300002,81,"u","u","181","33","u","Input"
"189","189","189",300082,300168,86,"r","r","182","33","r","Input"
"190","190","190",300280,300402,122,"e","e","183","33","e","Input"
"191","191","191",300390,300505,115,"Space","Space","184","33"," ","Input"
"192","192","192",300686,300788,102,"p","p","185","34","p","Input"
"193","193","193",301194,301265,71,"u","u","186","34","u","Input"
"194","194","194",301640,301780,140,"r","r","187","34","r","Input"
"195","195","195",301860,301953,93,"p","p","188","34","p","Input"
"196","196","196",302061,302162,101,"o","o","189","34","o","Input"
"197","197","197",302249,302370,121,"s","s","190","34","s","Input"
"198","198","198",302468,302577,109,"e","e","191","34","e","Input"
"199","199","199",302717,302866,149,"s","s","192","34","s","Input"
"200","200","200",303577,303690,113,".",".","193","34",".","Input"
"201","201","201",303923,304003,80,"Space","Space","194","34"," ","Input"
"202","202","202",335412,335531,119,"Leftclick","Leftclick","194","34","NoChange","Nonproduction"
"203","203","203",336612,336612,0,"Shift","Shift","194","34","NoChange","Nonproduction"
"204","204","204",336880,336985,105,"I","i","195","35","I","Input"
"205","205","205",337324,337417,93,"t","t","196","35","t","Input"
"206","206","206",337481,337568,87,"Space","Space","197","35"," ","Input"
"207","207","207",337652,337738,86,"w","w","198","36","w","Input"
"208","208","208",337897,337984,87,"a","a","199","36","a","Input"
