"","DownEventID","UpEventID","DownTime","UpTime","ActionTime","DownEvent","UpEvent","Cursorposition","WordCount","TextChange","Activity"
"1","1","1",58949,59019,70,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"2","2","2",61337,61337,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"3","3","3",61646,61709,63,"H","H","1","1","H","Input"
"4","4","4",62149,62212,63,"m","m","2","1","m","Input"
"5","5","5",62316,62373,57,"m","m","3","1","m","Input"
"6","6","6",62483,62541,58,"m","m","4","1","m","Input"
"7","7","7",63518,63571,53,"Backspace","Backspace","3","1","m","Remove/Cut"
"8","8","8",63964,64040,76,".",".","4","1",".","Input"
"9","9","9",64149,64218,69,".",".","5","1",".","Input"
"10","10","10",64312,64383,71,".",".","6","1",".","Input"
"11","11","11",64876,64954,78,"s","s","7","1","s","Input"
"12","12","12",64970,65041,71,"h","h","8","1","h","Input"
"13","13","13",65135,65248,113,"o","o","9","1","o","Input"
"14","14","14",65318,65388,70,"u","u","10","1","u","Input"
"15","15","15",65567,65623,56,"l","l","11","1","l","Input"
"16","16","16",65666,65764,98,"d","d","12","1","d","Input"
"17","17","17",65881,65932,51,"Space","Space","13","1"," ","Input"
"18","18","18",66765,66852,87,"Backspace","Backspace","12","1"," ","Remove/Cut"
"19","19","19",66941,67009,68,"Backspace","Backspace","11","1","d","Remove/Cut"
"20","20","20",67112,67180,68,"Backspace","Backspace","10","1","l","Remove/Cut"
"21","21","21",67273,67348,75,"Backspace","Backspace","9","1","u","Remove/Cut"
"22","22","22",67447,67524,77,"Backspace","Backspace","8","1","o","Remove/Cut"
"23","23","23",67627,67696,69,"Backspace","Backspace","7","1","h","Remove/Cut"
"24","24","24",67966,68016,50,"Backspace","Backspace","6","1","s","Remove/Cut"
"25","25","25",68141,68141,0,"Shift","Shift","6","1","NoChange","Nonproduction"
"26","26","26",68502,68598,96,"S","s","7","1","S","Input"
"27","27","27",68658,68724,66,"h","h","8","1","h","Input"
"28","28","28",68838,68936,98,"o","o","9","1","o","Input"
"29","29","29",69010,69075,65,"u","u","10","1","u","Input"
"30","30","30",69227,69313,86,"l","l","11","1","l","Input"
"31","31","31",69331,69391,60,"d","d","12","1","d","Input"
"32","32","32",69505,69585,80,"Space","Space","13","1"," ","Input"
"33","33","33",69625,69625,0,"Shift","Shift","13","1","NoChange","Nonproduction"
"34","34","34",70673,70764,91,"m","m","14","2","m","Input"
"35","35","35",70873,70938,65,"o","o","15","2","o","Input"
"36","36","36",70948,71023,75,"d","d","16","2","d","Input"
"37","37","37",71152,71255,103,"e","e","17","2","e","Input"
"38","38","38",71335,71393,58,"r","r","18","2","r","Input"
"39","39","39",71498,71544,46,"n","n","19","2","n","Input"
"40","40","40",71678,71754,76,"Space","Space","20","2"," ","Input"
"41","41","41",71794,71879,85,"s","s","21","3","s","Input"
"42","42","42",72007,72052,45,"o","o","22","3","o","Input"
"43","43","43",73282,73346,64,"c","c","23","3","c","Input"
"44","44","44",73619,73669,50,"i","i","24","3","i","Input"
"45","45","45",73699,73778,79,"e","e","25","3","e","Input"
"46","46","46",74117,74166,49,"t","t","26","3","t","Input"
"47","47","47",74245,74289,44,"y","y","27","3","y","Input"
"48","48","48",74509,74567,58,"Space","Space","28","3"," ","Input"
"49","49","49",75554,75620,66,"b","b","29","4","b","Input"
"50","50","50",75664,75732,68,"e","e","30","4","e","Input"
"51","51","51",75786,75853,67,"Space","Space","31","4"," ","Input"
"52","52","52",75997,76094,97,"c","c","32","5","c","Input"
"53","53","53",76258,76318,60,"r","r","33","5","r","Input"
"54","54","54",76430,76497,67,"i","i","34","5","i","Input"
"55","55","55",77363,77426,63,"t","t","35","5","t","Input"
"56","56","56",78522,78571,49,"i","i","36","5","i","Input"
"57","57","57",79323,79388,65,"Backspace","Backspace","35","5","i","Remove/Cut"
"58","58","58",80983,81049,66,"i","i","36","5","i","Input"
"59","59","59",81598,81648,50,"c","c","37","5","c","Input"
"60","60","60",81764,81829,65,"i","i","38","5","i","Input"
"61","61","61",82097,82141,44,"z","z","39","5","z","Input"
"62","62","62",82530,82574,44,"e","e","40","5","e","Input"
"63","63","63",82763,82825,62,"d","d","41","5","d","Input"
"64","64","64",83415,83489,74,"Space","Space","42","5"," ","Input"
"65","65","65",83628,83690,62,"f","f","43","6","f","Input"
"66","66","66",83739,83805,66,"o","o","44","6","o","Input"
"67","67","67",83866,83936,70,"r","r","45","6","r","Input"
"68","68","68",84042,84102,60,"Space","Space","46","6"," ","Input"
"69","69","69",84323,84387,64,"b","b","47","7","b","Input"
"70","70","70",84446,84505,59,"e","e","48","7","e","Input"
"71","71","71",84561,84655,94,"i","i","49","7","i","Input"
"72","72","72",84787,84848,61,"n","n","50","7","n","Input"
"73","73","73",84917,84972,55,"g","g","51","7","g","Input"
"74","74","74",85715,85764,49,"Space","Space","52","7"," ","Input"
"75","75","75",86284,86347,63,"m","m","53","8","m","Input"
