"","DownEventID","UpEventID","DownTime","UpTime","ActionTime","DownEvent","UpEvent","Cursorposition","WordCount","TextChange","Activity"
"1","1","1",7528,7528,0,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"2","2","2",9071,9071,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"3","3","3",9560,9560,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"4","4","4",9590,9590,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"5","5","5",10087,10087,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"6","6","6",10088,10090,2,"I","i","1","1","I","Input"
"7","7","7",10305,10463,158,"Space","Space","2","1"," ","Input"
"8","8","8",10642,10771,129,"l","l","3","2","l","Input"
"9","9","9",10882,11028,146,"o","o","4","2","o","Input"
"10","10","10",11074,11188,114,"v","v","5","2","v","Input"
"11","11","11",11395,11460,65,"e","e","6","2","e","Input"
"12","12","12",11395,11489,94,"r","r","7","2","r","Input"
"13","13","13",12500,12642,142,"Backspace","Backspace","6","2","r","Remove/Cut"
"14","14","14",12883,13029,146,"Space","Space","7","2"," ","Input"
"15","15","15",13235,13444,209,"m","m","8","3","m","Input"
"16","16","16",13572,13687,115,"y","y","9","3","y","Input"
"17","17","17",13825,13987,162,"s","s","10","3","s","Input"
"18","18","18",14101,14258,157,"e","e","11","3","e","Input"
"19","19","19",14354,14596,242,"l","l","12","3","l","Input"
"20","20","20",14470,14611,141,"f","f","13","3","f","Input"
"21","21","21",15844,15957,113,".",".","14","3",".","Input"
"22","22","22",16996,17453,457,"Space","Space","15","3"," ","Input"
"23","23","23",26151,26151,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"24","24","24",26436,26436,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"25","25","25",26460,26460,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"26","26","26",26491,26491,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"27","27","27",26523,26523,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"28","28","28",26556,26556,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"29","29","29",26589,26589,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"30","30","30",26904,26904,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"31","31","31",26904,26904,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"32","32","32",26904,26904,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"33","33","33",26904,26904,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"34","34","34",26904,26904,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"35","35","35",26905,26905,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"36","36","36",26905,26905,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"37","37","37",26905,26905,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"38","38","38",26906,26906,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"39","39","39",26920,26920,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"40","40","40",26953,26953,0,"Shift","Shift","15","3","NoChange","Nonproduction"
"41","41","41",26981,27177,196,"I","i","16","4","I","Input"
"42","42","42",27928,27928,0,"Space","Space","17","4"," ","Input"
"43","43","43",27957,28416,459,"l","l","18","5","l","Input"
"44","44","44",28417,28419,2,"i","i","19","5","i","Input"
"45","45","45",28419,28517,98,"k","k","20","5","k","Input"
"46","46","46",28565,29287,722,"e","e","21","5","e","Input"
"47","47","47",29334,29480,146,"Space","Space","22","5"," ","Input"
"48","48","48",29703,29845,142,"l","l","23","6","l","Input"
"49","49","49",29877,29990,113,"e","e","24","6","e","Input"
"50","50","50",30119,30279,160,"a","a","25","6","a","Input"
"51","51","51",30280,30651,371,"r","r","26","6","r","Input"
"52","52","52",30651,30653,2,"n","n","27","6","n","Input"
"53","53","53",30653,30758,105,"Space","Space","28","6"," ","Input"
"54","54","54",160760,160876,116,"n","n","29","7","n","Input"
"55","55","55",161034,161129,95,"e","e","30","7","e","Input"
"56","56","56",161275,161418,143,"w","w","31","7","w","Input"
"57","57","57",161547,161656,109,"Space","Space","32","7"," ","Input"
"58","58","58",162664,162793,129,"t","t","33","8","t","Input"
"59","59","59",162857,162936,79,"h","h","34","8","h","Input"
"60","60","60",163082,163211,129,"i","i","35","8","i","Input"
"61","61","61",163306,163435,129,"n","n","36","8","n","Input"
"62","62","62",163496,163593,97,"g","g","37","8","g","Input"
"63","63","63",163753,163881,128,"s","s","38","8","s","Input"
"64","64","64",163962,164089,127,"Space","Space","39","8"," ","Input"
"65","65","65",165301,165303,2,"t","t","40","9","t","Input"
"66","66","66",165303,165303,0,"o","o","41","9","o","Input"
"67","67","67",165303,165303,0,"Space","Space","42","9"," ","Input"
"68","68","68",165368,165467,99,"r","r","43","10","r","Input"
"69","69","69",165627,165708,81,"e","e","44","10","e","Input"
"70","70","70",165819,166615,796,"a","a","45","10","a","Input"
"71","71","71",166616,166617,1,"c","c","46","10","c","Input"
"72","72","72",166618,166619,1,"h","h","47","10","h","Input"
"73","73","73",166619,166633,14,"Space","Space","48","10"," ","Input"
"74","74","74",167787,167954,167,"m","m","49","11","m","Input"
"75","75","75",168138,168202,64,"y","y","50","11","y","Input"
"76","76","76",168444,168968,524,"Space","Space","51","11"," ","Input"
"77","77","77",168971,168972,1,"g","g","52","12","g","Input"
"78","78","78",168972,168973,1,"o","o","53","12","o","Input"
"79","79","79",168974,169066,92,"a","a","54","12","a","Input"
"80","80","80",169147,169212,65,"l","l","55","12","l","Input"
"81","81","81",169290,169403,113,"s","s","56","12","s","Input"
"82","82","82",170665,170778,113,".",".","57","12",".","Input"
"83","83","83",172445,172602,157,"Space","Space","58","12"," ","Input"
"84","84","84",177161,177161,0,"Shift","Shift","58","12","NoChange","Nonproduction"
"85","85","85",177663,177663,0,"Shift","Shift","58","12","NoChange","Nonproduction"
"86","86","86",177676,177822,146,"I","i","59","13","I","Input"
"87","87","87",178205,178347,142,"Space","Space","60","13"," ","Input"
"88","88","88",178667,178826,159,"i","i","61","14","i","Input"
"89","89","89",179867,179932,65,"Backspace","Backspace","60","13","i","Remove/Cut"
"90","90","90",180250,180381,131,"l","l","61","14","l","Input"
