"","DownEventID","UpEventID","DownTime","UpTime","ActionTime","DownEvent","UpEvent","Cursorposition","WordCount","TextChange","Activity"
"1","1","1",125924,126015,91,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"2","2","2",127421,127421,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"3","3","3",127628,127756,128,"H","H","1","1","H","Input"
"4","4","4",127900,128012,112,"a","a","2","1","a","Input"
"5","5","5",128189,128412,223,"p","p","3","1","p","Input"
"6","6","6",128804,129044,240,"p","p","4","1","p","Input"
"7","7","7",129068,129116,48,"u","u","5","1","u","Input"
"8","8","8",129477,129564,87,"Backspace","Backspace","4","1","u","Remove/Cut"
"9","9","9",129748,129852,104,"i","i","5","1","i","Input"
"10","10","10",129980,130060,80,"n","n","6","1","n","Input"
"11","11","11",130252,130316,64,"e","e","7","1","e","Input"
"12","12","12",130461,130525,64,"s","s","8","1","s","Input"
"13","13","13",130653,130676,23,"s","s","9","1","s","Input"
"14","14","14",130820,130916,96,",",",","10","1",",","Input"
"15","15","15",131036,131133,97,"Space","Space","11","1"," ","Input"
"16","16","16",131133,131220,87,"w","w","12","2","w","Input"
"17","17","17",131260,131333,73,"h","h","13","2","h","Input"
"18","18","18",131388,131508,120,"e","e","14","2","e","Input"
"19","19","19",131653,131708,55,"e","e","15","2","e","Input"
"20","20","20",131653,131756,103,"r","r","16","2","r","Input"
"21","21","21",131957,132028,71,"Backspace","Backspace","15","2","r","Remove/Cut"
"22","22","22",132100,132188,88,"Backspace","Backspace","14","2","e","Remove/Cut"
"23","23","23",132204,132332,128,"r","r","15","2","r","Input"
"24","24","24",132308,132388,80,"e","e","16","2","e","Input"
"25","25","25",132412,132516,104,"Space","Space","17","2"," ","Input"
"26","26","26",132557,132660,103,"d","d","18","3","d","Input"
"27","27","27",132660,132741,81,"o","o","19","3","o","Input"
"28","28","28",133012,133519,507,"Backspace","Backspace","18","3","o","Remove/Cut"
"29","29","29",133519,133549,30,"Backspace","Backspace","17","2","d","Remove/Cut"
"30","30","30",133549,133581,32,"Backspace","Backspace","16","2"," ","Remove/Cut"
"31","31","31",133581,133612,31,"Backspace","Backspace","15","2","e","Remove/Cut"
"32","32","32",133612,133659,47,"Backspace","Backspace","14","2","r","Remove/Cut"
"33","33","33",133659,133690,31,"Backspace","Backspace","13","2","e","Remove/Cut"
"34","34","34",133690,133720,30,"Backspace","Backspace","12","2","h","Remove/Cut"
"35","35","35",133720,133750,30,"Backspace","Backspace","11","1","w","Remove/Cut"
"36","36","36",133750,133782,32,"Backspace","Backspace","10","1"," ","Remove/Cut"
"37","37","37",133782,133813,31,"Backspace","Backspace","9","1",",","Remove/Cut"
"38","38","38",133813,133845,32,"Backspace","Backspace","8","1","s","Remove/Cut"
"39","39","39",133845,133876,31,"Backspace","Backspace","7","1","s","Remove/Cut"
"40","40","40",133876,133922,46,"Backspace","Backspace","6","1","e","Remove/Cut"
"41","41","41",133922,133953,31,"Backspace","Backspace","5","1","n","Remove/Cut"
"42","42","42",133953,133984,31,"Backspace","Backspace","4","1","i","Remove/Cut"
"43","43","43",133984,134014,30,"Backspace","Backspace","3","1","p","Remove/Cut"
"44","44","44",134014,134045,31,"Backspace","Backspace","2","1","p","Remove/Cut"
"45","45","45",134045,134076,31,"Backspace","Backspace","1","1","a","Remove/Cut"
"46","46","46",134076,134122,46,"Backspace","Backspace","0","0","H","Remove/Cut"
"47","47","47",134122,134153,31,"Backspace","Backspace","0","0","NoChange","Nonproduction"
"48","48","48",134153,134183,30,"Backspace","Backspace","0","0","NoChange","Nonproduction"
"49","49","49",134183,134188,5,"Backspace","Backspace","0","0","NoChange","Nonproduction"
"50","50","50",134244,134244,0,"Tab","Tab","0","0","NoChange","Nonproduction"
"51","51","51",135609,135715,106,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"52","52","52",135924,135924,0,"Tab","Tab","0","0","NoChange","Nonproduction"
